Rank,Name,Title,Federation,Tournaments Played,Tournaments Counted,Total Points,Avg Points,Avg Rating,Avg Opponent Rating,Win Percentage
198,"El Aoji Karim",,LBN,1,1,2.5,2.50,0,1516,35.7
199,"Chabab Sarah",,LBN,1,1,2.5,2.50,0,1598,35.7
200,"Ali Khan Amani",ACM,LBN,1,1,2.5,2.50,1588,1721,25.0
201,"El Tayah Antoine",,LBN,1,1,2.5,2.50,0,1625,35.7
202,"Chami Amir",,LBN,2,2,2.5,1.25,1623,1639,35.7
203,"El Solh Samih",,LBN,1,1,2.0,2.00,0,0,33.3
204,"Rammal Karim",,LBN,1,1,2.0,2.00,0,1525,16.7
205,"Hammoud Amro",,LBN,1,1,2.0,2.00,1435,1627,33.3
206,"Bechaalany Anthony",,LBN,1,1,2.0,2.00,0,1613,33.3
207,"Rammal Celena",,LBN,1,1,2.0,2.00,0,1446,20.0
208,"Haidar Riad",,LBN,1,1,2.0,2.00,0,1532,28.6
209,"Keirouz Kabalan",,LBN,1,1,2.0,2.00,0,1489,66.7
210,"Altal Mohammad Fares.",,SYR,1,1,2.0,2.00,1592,1720,33.3
211,"Bechelany Anthony",,LBN,1,1,2.0,2.00,0,1567,28.6
212,"Shamseddine Hussein",,LBN,1,1,2.0,2.00,0,1550,33.3
213,"Mahdi Yousef Mohamad",,LBN,1,1,2.0,2.00,0,1565,16.7
214,"Mardikian Antranik Maria",,LBN,1,1,2.0,2.00,0,1515,28.6
215,"Barnaba Kay",,LBN,1,1,2.0,2.00,0,1708,16.7
216,"Ghanem Georgio",,LBN,1,1,2.0,2.00,0,1622,28.6
217,"Saadeddine Lana",,LBN,1,1,2.0,2.00,0,1610,28.6
218,"Chaaban Mazen",,LBN,1,1,2.0,2.00,1714,1799,40.0
219,"Saliba Marc Samer",,LBN,1,1,2.0,2.00,1441,1681,28.6
220,"Dirani Hussien",,LBN,1,1,2.0,2.00,1513,1748,28.6
221,"Al Bitar Mohammad Hachem Mahmoud",,LBN,1,1,2.0,2.00,0,1594,28.6
222,"Yehya Hussein",,LBN,1,1,2.0,2.00,0,1640,16.7
223,"Takkoush Abdallah",,LBN,1,1,2.0,2.00,0,1639,28.6
224,"Al Khoury Yorgo",,LBN,1,1,2.0,2.00,1440,1729,28.6
225,"Mrad Mario",,LBN,1,1,2.0,2.00,0,1512,33.3
226,"Atayan Aren",,LBN,1,1,2.0,2.00,0,1696,16.7
227,"Jari Jad",,LBN,1,1,2.0,2.00,0,1548,33.3
228,"Ghrayeb Zayn",,LBN,1,1,2.0,2.00,0,1500,33.3
229,"Nasser Ali",,LBN,1,1,2.0,2.00,1436,1718,28.6
230,"Harajli Haidar",,LBN,2,2,2.0,1.00,0,1569,28.6
231,"Salam Reina",,LBN,2,2,2.0,1.00,0,1570,0.0
232,"Joumaa Amir",,LBN,2,2,2.0,1.00,0,1537,7.7
233,"Abdallah Jennifer",,LBN,1,1,1.5,1.50,1493,1668,30.0
234,"Itani Ahmad",,LBN,1,1,1.5,1.50,0,1617,21.4
235,"Tohme Johnny",,LBN,1,1,1.5,1.50,1456,1716,21.4
236,"Nasr Jason",,LBN,1,1,1.5,1.50,1456,1620,21.4
237,"Khoury Zahi",,LBN,1,1,1.5,1.50,0,1520,21.4
238,"Makkouk Tarek",,LBN,1,1,1.0,1.00,0,1568,14.3
239,"Chamoun John",,LBN,1,1,1.0,1.00,0,1539,0.0
240,"Fayad Selim",,LBN,1,1,1.0,1.00,0,1590,0.0
241,"Abi Aad Marc",,LBN,1,1,1.0,1.00,0,1657,14.3
242,"Rahbani Mathew",,LBN,1,1,1.0,1.00,0,1477,14.3
243,"Eid Joe",,LBN,1,1,1.0,1.00,0,1625,14.3
244,"Souaid Elie",,LBN,1,1,1.0,1.00,1470,1725,0.0
245,"Taha Saria",,LBN,1,1,1.0,1.00,0,1535,0.0
246,"Bsaibess Brian",,LBN,1,1,1.0,1.00,0,1578,14.3
247,"Diab Dia Hassan",,LBN,2,2,1.0,0.50,0,1595,0.0
248,"Jeradeh Lyn",,LBN,2,2,1.0,0.50,0,1540,0.0
249,"Mallah Amir",,LBN,1,1,0.5,0.50,0,1559,10.0
250,"Fakhoury Tarek",,LBN,1,1,0.0,0.00,1689,0,
251,"Khoury Chakib",,LBN,1,1,0.0,0.00,0,1543,0.0
252,"Moghabghab Jad",,LBN,1,1,0.0,0.00,0,1479,0.0
253,"Al Mousawi Ali",,LBN,1,1,0.0,0.00,1664,0,
254,"Taha Khaled",,LBN,1,1,0.0,0.00,0,1503,0.0
255,"AbdelSamad Loren",,LBN,1,1,0.0,0.00,0,1639,0.0
